year,1,2,3,4,5,6,7,8,9,10,11,12
1971,0.66,0.38,0.54,0.29,0.18,-0.28,-0.28,-0.06,0.19,-0.07,-0.06,0.11
1972,0.37,0.19,0.12,-0.08,0.11,-0.30,-0.33,-0.42,-0.37,-0.14,0.08,0.00
1973,-0.22,-0.02,-0.09,-0.02,0.02,0.09,0.24,0.61,0.47,0.22,0.20,0.48
1974,0.43,0.52,0.08,-0.07,0.02,-0.28,-0.06,0.04,0.05,0.22,-0.06,-0.05
1975,-0.09,-0.15,-0.06,0.07,0.01,-0.14,0.05,-0.05,0.17,-0.12,-0.05,0.25
1976,0.46,0.18,0.26,-0.14,-0.31,-0.46,-0.35,-0.43,-0.74,-0.14,-0.03,-0.07
1977,-0.09,-0.05,-0.05,-0.12,0.10,0.20,-0.10,-0.22,-0.11,-0.10,0.08,0.24
1978,-0.18,-0.26,-0.31,-0.21,0.06,0.31,0.54,0.28,0.12,0.05,-0.10,0.04
1979,0.06,0.12,0.00,0.03,-0.06,0.06,-0.24,-0.24,0.15,-0.30,0.05,-0.02
1980,-0.32,-0.23,-0.16,-0.04,-0.07,-0.16,-0.26,-0.11,-0.07,-0.01,0.24,0.39
1981,0.22,0.11,0.21,0.23,0.72,0.37,0.40,0.17,0.18,0.25,0.46,0.16
1982,0.32,0.47,0.29,0.23,-0.01,0.01,-0.54,-0.44,-0.54,-0.29,-0.07,-0.28
1983,-0.63,-0.54,-0.41,-0.39,-0.56,-0.10,-0.14,0.11,0.17,0.11,0.12,0.15
1984,0.21,0.45,0.40,0.35,0.37,0.03,0.39,0.32,0.33,0.07,-0.06,-0.09
1985,-0.19,0.04,0.12,0.25,0.07,0.02,-0.12,0.10,-0.05,-0.11,0.25,0.16
1986,0.13,-0.04,0.09,0.18,0.38,0.19,-0.04,0.00,-0.33,0.05,-0.03,-0.29
1987,-0.37,-0.38,-0.17,0.09,0.16,0.21,0.03,0.07,0.03,0.09,0.15,0.15
1988,-0.03,-0.01,0.09,0.31,0.07,0.16,0.40,0.50,0.53,0.30,0.06,0.19
1989,0.33,0.50,0.32,0.29,-0.07,-0.20,0.09,0.16,0.27,0.27,-0.03,-0.19
1990,-0.06,-0.02,-0.08,-0.08,0.01,-0.10,-0.13,-0.01,-0.31,0.00,-0.38,-0.75
1991,-0.54,-0.61,-0.40,-0.16,-0.27,-0.10,0.02,-0.19,-0.35,-0.54,-0.44,-0.48
1992,-0.51,-0.47,-0.65,-0.32,-0.21,-0.08,-0.30,-0.14,-0.15,0.00,-0.43,-0.35
1993,-0.56,-0.46,-0.30,-0.42,-0.48,-0.35,-0.18,-0.53,-0.37,-0.42,0.03,0.01
1994,-0.16,0.16,0.20,0.26,0.07,0.06,-0.07,0.08,-0.12,-0.05,-0.02,-0.18
1995,-0.19,-0.08,-0.32,-0.32,-0.11,0.15,0.33,0.62,0.54,0.51,0.43,0.63
1996,0.51,0.42,0.30,0.31,0.26,0.21,0.58,0.46,0.60,0.66,0.14,0.19
1997,0.30,0.21,-0.18,-0.03,0.03,0.16,-0.05,-0.61,-0.41,0.11,-0.09,0.08
1998,-0.24,-0.37,-0.28,-0.38,-0.26,0.01,0.53,0.66,0.89,0.48,0.41,0.48
1999,0.84,0.95,0.90,0.34,0.17,-0.08,0.04,0.00,0.17,0.25,0.16,0.41
2000,0.74,0.70,0.69,0.41,0.26,0.10,0.08,0.24,0.25,0.17,0.35,0.41
2001,0.77,0.54,0.37,0.57,0.31,0.35,0.03,-0.03,0.10,0.27,0.25,0.07
2002,0.08,0.05,0.13,0.20,0.14,-0.03,-0.29,-0.41,-0.34,-0.19,0.05,-0.11
2003,-0.13,-0.22,-0.09,0.11,0.04,0.01,-0.02,-0.04,-0.14,0.03,0.01,0.02
2004,0.18,0.32,0.44,0.12,-0.05,-0.50,-0.18,-0.56,-0.18,-0.42,-0.06,0.08
2005,-0.05,-0.43,-0.06,-0.40,-0.19,-0.09,0.15,-0.11,-0.25,0.06,-0.10,0.06
2006,0.23,0.22,0.08,-0.16,-0.16,0.23,-0.29,-0.47,0.03,-0.52,-0.21,0.10
2007,-0.14,-0.07,-0.23,-0.10,0.05,0.22,0.16,0.23,0.30,0.04,0.05,0.25
2008,0.28,0.16,0.09,-0.02,-0.26,-0.37,-0.01,0.39,0.28,0.08,-0.12,0.15
2009,0.32,0.31,0.11,0.08,0.10,0.06,0.02,0.05,-0.18,-0.33,-0.13,-0.28
2010,-0.42,-0.49,-0.08,-0.02,0.12,0.44,0.43,0.35,0.20,0.19,0.29,0.42
2011,0.65,0.78,0.47,0.21,0.07,-0.17,-0.42,-0.30,-0.24,-0.21,0.07,0.08
2012,0.08,0.15,0.00,-0.02,0.17,-0.18,-0.13,-0.13,-0.20,-0.35,-0.15,-0.07
2013,-0.13,-0.19,0.01,0.00,0.08,0.09,0.23,0.31,0.27,-0.22,-0.33,0.06
2014,0.04,0.10,0.05,-0.04,0.22,0.46,-0.07,0.13,-0.12,-0.11,0.12,-0.10
2015,-0.10,-0.40,-0.65,-0.27,-0.24,-0.34,-0.51,-0.44,-0.37,-0.47,-0.30,-0.50
2016,-0.61,-0.69,-0.36,-0.22,0.01,0.41,0.53,0.40,0.48,0.43,0.14,0.06
2017,0.04,-0.01,0.09,0.01,0.16,0.16,0.30,0.81,0.56,0.44,0.28,0.20
2018,0.18,0.33,0.22,-0.05,0.10,0.00,-0.14,-0.19,-0.41,0.04,-0.20,-0.35
2019,-0.64,-0.63,-0.57,-0.42,-0.06,-0.02,0.02,-0.20,-0.35,0.01,-0.14,-0.40
2020,-0.41,-0.24,-0.16,0.18,-0.13,0.17,0.45,0.54,0.55
